0 0 0 0 0
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
25 2996 0 0 0
27 2995 0 0 0
28 2987 0 0 0
29 2977 0 0 0
30 2942 0 0 0
31 2869 0 0 0
32 2833 0 0 0
33 2786 0 0 0
34 2735 0 0 0
35 2675 0 0 0
36 2588 0 0 0
37 2531 0 0 0
38 2443 0 0 0
39 2352 0 0 0
40 2254 0 0 0
41 2145 0 0 0
42 2037 0 0 0
43 2079 135 0 0
44 2675 832 0 0
45 2571 832 0 0
46 2454 832 0 0
47 2361 848 0 0
48 2266 848 0 0
49 2129 848 0 0
50 2011 848 0 0
51 1960 848 0 0
52 1834 850 2 0
53 1691 850 2 0
54 1578 850 2 0
55 1426 850 2 0
56 1299 850 2 0
57 1198 850 2 0
58 1145 850 2 0
59 1117 850 2 0
61 1110 850 2 0
62 1089 850 2 0
63 1073 853 5 0
64 1057 853 5 0
65 1038 853 5 0
66 1020 853 5 0
67 993 854 6 0
68 949 854 6 0
69 915 854 6 0
70 861 856 8 0
71 847 847 0 8
73 848 848 0 10
76 847 847 0 10
77 847 847 0 14
79 847 847 0 15
80 847 847 0 17
85 847 847 0 18
86 850 847 0 23
87 850 849 1 27
88 852 850 2 32
90 851 849 2 37
91 857 853 6 40
92 857 851 3 48
93 861 853 5 49
94 852 851 4 56
95 848 848 0 67
96 850 850 3 67
97 848 848 0 72
98 850 849 2 72
100 852 851 4 72
101 864 860 13 76
102 871 867 20 76
103 895 891 44 76
104 928 924 77 76
105 947 943 96 76
106 993 989 142 76
107 1031 1024 177 80
108 1067 1057 210 82
109 1118 1104 257 86
110 1150 1133 286 89
111 1201 1183 336 90
112 1225 1205 358 92
113 1242 1221 374 93
114 1249 1225 378 97
115 1264 1237 390 99
116 1271 1244 396 100
117 1273 1245 398 100
119 1286 1255 408 103
120 1294 1263 416 103
121 1312 1281 434 103
122 1321 1285 438 108
123 1327 1291 443 109
124 1334 1297 450 109
125 1342 1302 455 112
127 1343 1303 456 112
128 1348 1308 461 113
129 1360 1317 469 116
130 1365 1318 471 119
131 1376 1330 483 119
132 1386 1339 492 120
133 1387 1340 492 123
134 1398 1349 502 123
136 1417 1366 519 124
137 1420 1369 522 124
138 1427 1376 529 124
139 1444 1389 542 128
141 1448 1393 546 128
142 1474 1418 570 130
143 1476 1419 572 130
144 1487 1430 583 130
145 1534 1475 628 132
146 1566 1507 660 132
147 1575 1516 669 132
148 1645 1582 735 136
150 1651 1587 740 137
151 1672 1604 757 141
152 1701 1633 786 141
153 1713 1645 798 141
154 1736 1664 817 145
155 1753 1679 832 147
156 1762 1688 841 147
157 1787 1713 866 148
158 1818 1744 897 149
159 1837 1761 914 151
160 1869 1793 945 152
161 1884 1807 960 153
162 1893 1816 969 153
163 1924 1844 997 156
164 1938 1856 1009 158
165 1948 1865 1018 159
166 2007 1920 1073 163
167 2046 1959 1112 163
169 2066 1978 1131 164
170 2077 1986 1139 167
171 2089 1991 1144 174
173 2101 1999 1152 178
174 2103 2001 1154 178
175 2115 2011 1163 181
176 2120 2006 1159 190
177 2142 2026 1179 192
178 2152 2031 1183 198
179 2158 2036 1189 198
180 2176 2051 1204 201
181 2181 2054 1207 205
182 2201 2069 1221 209
183 2215 2078 1230 215
184 2228 2088 1240 217
185 2234 2091 1244 219
186 2252 2109 1261 220
188 2260 2115 1267 222
189 2267 2120 1273 223
190 2279 2132 1285 223
191 2290 2143 1296 223
192 2292 2144 1297 224
193 2298 2150 1303 224
195 2360 2209 1362 227
196 2362 2211 1364 227
197 2365 2213 1366 228
198 2379 2227 1380 228
199 2435 2282 1435 229
200 2442 2287 1440 231
201 2454 2298 1450 233
202 2466 2308 1460 235
203 2481 2320 1472 238
204 2492 2330 1483 238
205 2512 2345 1497 244
206 2556 2387 1539 246
208 2556 2384 1536 249
209 2560 2387 1540 249
210 2570 2394 1546 253
211 2579 2399 1552 257
212 2647 2464 1616 260
213 2658 2474 1627 261
214 2666 2482 1635 261
215 2711 2527 1680 264
216 2723 2536 1689 267
217 2725 2537 1690 270
218 2745 2554 1707 274
219 2764 2568 1721 278
220 2799 2601 1754 280
222 2822 2622 1775 282
223 2860 2660 1813 283
224 2936 2733 1886 287
225 2967 2762 1914 289
226 2991 2784 1937 289
227 2999 2791 1963 290
228 2999 2791 1976 290
229 2999 2789 1984 292
230 2999 2789 1996 292
231 2998 2787 2002 294
233 2999 2787 2006 294
234 2999 2787 2013 294
235 2999 2785 2020 296
236 2999 2785 2037 296
238 2998 2782 2053 299
239 2999 2782 2059 299
240 2999 2781 2071 300
241 2999 2780 2090 301
242 2999 2780 2093 301
243 2998 2771 2110 310
244 2999 2768 2113 313
245 2999 2768 2126 314
246 2999 2767 2136 314
248 2999 2767 2155 314
249 2999 2767 2181 314
250 2999 2766 2194 315
251 2999 2766 2224 315
252 2999 2767 2268 315
253 2999 2762 2286 320
254 2999 2761 2361 321
255 2999 2756 2396 326
256 2999 2750 2433 332
257 2999 2749 2486 335
258 2999 2742 2557 343
259 2999 2732 2589 355
260 2999 2726 2604 361
261 2999 2713 2606 375
262 2999 2702 2601 385
263 2999 2681 2588 408
264 2999 2652 2566 439
265 2999 2632 2558 459
266 2998 2615 2550 480
267 2997 2600 2544 499
268 2998 2582 2531 518
269 2999 2552 2515 551
270 2998 2542 2498 568
271 2999 2520 2477 591
273 2999 2513 2480 601
274 2999 2510 2476 607
275 2999 2510 2478 607
276 2998 2489 2459 631
277 2999 2468 2437 655
278 2999 2435 2404 691
279 2999 2406 2377 727
280 3000 2375 2350 760
281 2997 2344 2322 794
282 2999 2311 2289 829
283 2998 2271 2247 871
284 2998 2233 2209 912
285 2999 2220 2198 926
286 2999 2220 2203 926
287 2999 2198 2178 954
289 2999 2155 2139 997
290 2998 2116 2092 1047
291 2998 2078 2046 1094
292 2999 2060 2025 1117
293 2998 2017 1981 1165
294 2999 1982 1941 1205
295 2998 1944 1903 1244
296 2997 1919 1877 1273
297 2992 1875 1829 1324
298 2998 1842 1800 1362
299 2999 1803 1764 1407
300 2997 1755 1718 1461
301 2998 1722 1679 1504
302 2987 1699 1642 1543
303 2997 1680 1611 1576
304 2997 1650 1572 1616
305 2997 1633 1545 1647
306 2996 1604 1511 1687
307 2994 1572 1482 1723
308 2998 1549 1462 1750
309 2998 1534 1449 1770
310 2969 1502 1417 1807
311 2999 1475 1393 1838
312 2997 1453 1378 1871
313 2996 1425 1354 1910
314 2999 1406 1340 1937
315 2998 1395 1324 1965
316 2999 1365 1293 2004
317 2998 1348 1270 2030
318 2998 1321 1244 2062
319 2993 1298 1227 2086
320 2998 1271 1198 2122
321 2998 1247 1177 2153
322 2998 1235 1150 2187
323 2999 1213 1119 2225
324 2997 1177 1087 2271
325 2997 1146 1062 2312
326 2998 1121 1036 2345
327 2997 1100 1013 2373
328 2999 1071 981 2408
329 2998 1034 951 2452
330 2997 1000 913 2498
331 2999 968 883 2540
332 2997 940 853 2583
333 2997 911 830 2624
334 2997 887 799 2663
335 2999 858 771 2701
336 2996 831 737 2741
337 2999 806 717 2770
338 2998 787 699 2796
339 2997 764 670 2834
340 2999 747 656 2862
341 2997 713 608 2918
342 2998 687 589 2953
343 2998 665 568 2983
344 2999 658 561 3007
345 2996 645 548 3026
346 2998 656 532 3049
347 2999 674 517 3070
348 2999 682 517 3081
349 2997 698 518 3097
350 2999 706 516 3106
351 2999 709 516 3117
352 2997 736 525 3119
353 2997 745 520 3130
354 2999 757 523 3133
355 2999 780 531 3135
356 2998 808 538 3138
357 2998 835 538 3144
358 2997 860 547 3147
359 2998 861 547 3151
360 2998 891 565 3151
361 2999 916 575 3152
362 2999 940 589 3152
363 2997 958 599 3155
364 2993 968 602 3161
365 2999 985 606 3163
366 3000 1004 627 3164
368 2999 1014 635 3164
369 2998 1027 650 3165
370 2997 1040 661 3166
371 2999 1055 662 3167
372 2999 1065 666 3167
373 2999 1092 677 3170
374 2999 1120 681 3172
375 2999 1126 696 3174
376 2999 1153 712 3177
377 2999 1179 718 3177
378 2999 1201 732 3177
379 2998 1222 752 3178
380 2999 1234 750 3180
381 2998 1252 750 3182
382 3000 1275 759 3187
383 2998 1288 758 3189
384 2999 1299 763 3190
385 2999 1305 763 3197
386 2998 1326 779 3201
387 2999 1331 784 3204
388 3000 1350 796 3204
389 2999 1366 807 3206
390 2998 1385 807 3208
391 2999 1394 810 3209
392 2999 1394 822 3209
393 2998 1394 836 3211
